,0
0,1007_s_at
1,1053_at
2,117_at
3,121_at
4,1255_g_at
5,1294_at
6,1316_at
7,1320_at
8,1405_i_at
9,1431_at
10,1438_at
11,1487_at
12,1494_f_at
13,1552256_a_at
14,1552257_a_at
15,1552258_at
16,1552261_at
17,1552263_at
18,1552264_a_at
19,1552266_at
20,1552269_at
21,1552271_at
22,1552272_a_at
23,1552274_at
24,1552275_s_at
25,1552276_a_at
26,1552277_a_at
27,1552278_a_at
28,1552279_a_at
29,1552280_at
30,1552281_at
31,1552283_s_at
32,1552286_at
33,1552287_s_at
34,1552288_at
35,1552289_a_at
36,1552291_at
37,1552293_at
38,1552295_a_at
39,1552296_at
40,1552299_at
41,1552301_a_at
42,1552302_at
43,1552303_a_at
44,1552304_at
45,1552306_at
46,1552307_a_at
47,1552309_a_at
48,1552310_at
49,1552311_a_at
50,1552312_a_at
51,1552314_a_at
52,1552315_at
53,1552316_a_at
54,1552318_at
55,1552319_a_at
56,1552320_a_at
57,1552321_a_at
58,1552322_at
59,1552323_s_at
60,1552325_at
61,1552326_a_at
62,1552327_at
63,1552329_at
64,1552330_at
65,1552332_at
66,1552334_at
67,1552335_at
68,1552337_s_at
69,1552338_at
70,1552340_at
71,1552343_s_at
72,1552344_s_at
73,1552347_at
74,1552348_at
75,1552349_a_at
76,1552354_at
77,1552355_s_at
78,1552359_at
79,1552360_a_at
80,1552362_a_at
81,1552364_s_at
82,1552365_at
83,1552367_a_at
84,1552368_at
85,1552370_at
86,1552372_at
87,1552373_s_at
88,1552375_at
89,1552377_s_at
90,1552378_s_at
91,1552379_at
92,1552381_at
93,1552383_at
94,1552384_a_at
95,1552386_at
96,1552388_at
97,1552389_at
98,1552390_a_at
99,1552391_at
