,0
0,244110_at
1,220393_at
2,212494_at
3,241907_at
4,216841_s_at
5,208314_at
6,243874_at
7,228329_at
8,1562337_at
9,1553430_a_at
10,231207_at
11,242900_at
12,1554037_a_at
13,244769_at
14,241386_at
15,224822_at
16,1568847_at
17,224333_s_at
18,1555981_at
19,225576_at
20,1564067_x_at
21,225242_s_at
22,215781_s_at
23,209726_at
24,219941_at
25,217442_at
26,207204_at
27,206229_x_at
28,235243_at
29,213362_at
30,206553_at
31,236691_at
32,223889_at
33,228929_at
34,222790_s_at
35,209547_s_at
36,207834_at
37,240263_at
38,214939_x_at
39,228407_at
40,231737_at
41,1556776_a_at
42,1559066_at
43,204719_at
44,1560328_s_at
45,228203_at
46,1555162_at
47,201250_s_at
48,230523_at
49,231607_at
50,1559715_at
51,221283_at
52,218432_at
53,201177_s_at
54,223189_x_at
55,204141_at
56,216915_s_at
57,1566166_at
58,1569189_at
59,1552466_x_at
60,238800_s_at
61,215223_s_at
62,215677_s_at
63,1570136_at
64,223013_at
65,221886_at
66,1568815_a_at
67,244092_at
68,221790_s_at
69,220335_x_at
70,216545_at
71,203412_at
72,240742_at
73,233669_s_at
74,212047_s_at
75,210713_at
76,1566461_at
77,211775_x_at
78,219923_at
79,232763_at
80,227069_at
81,220245_at
82,200048_s_at
83,221874_at
84,209249_s_at
85,1557371_a_at
86,1564229_at
87,226699_at
88,1570173_at
89,1562238_at
90,1557465_at
91,1556952_at
92,210608_s_at
93,230937_at
94,227705_at
95,1560751_at
96,211582_x_at
97,223518_at
98,1564794_at
99,212549_at
